ID,Chinese name,Name,CodeName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,variant,Volume size,rarity,Element 1,Element 2,GenusCategory,Organization,weapon,WeaponEquip,nocturnal,4D total,HP,melee attack,Remote attack,defense,support,Speed of work,Level 1,Level 20,Level 50,AIRResponse,AISightResponse,endurance,slow walking speed,walking speed,running speed,Riding sprint speed,(being) damage multiplier,catch rate,Experience multiplier,price,Must bring entry 1,Must bring entry 2,Numerical description,lv1,lv2,lv3,lv4,lv5,Skill description
20,sage pig,rushoar,boar,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::boar,boar,nan,s,1,land,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,320,80,100,70,70,100,100,105-106,205-236,362-441,warlike,nan,100,70,150,450,700,110%,100%,100%,1680,nan,nan,mining bonus+,500,750,1100,1500,2000,can be moved around on its back. destroying rocks while riding will be more efficient.
21,lunati,nox,nightfox,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::nightfox,nightfox,nan,xs,6,dark,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,300,75,70,85,70,140,100,106-108,227-265,418-514,escape_to_battle,nan,100,30,60,300,nan,100%,100%,100%,1480,nan,nan,attack power bonus%,5,6,7,8,10,"when fighting alongside it, it will grant elemental dark to the player's attacks."
22,escape rat,fuddler,cutemole,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::cutemole,cutemole,nan,xs,1,land,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,295,65,100,80,50,100,100,106-107,220-256,400-490,escape_to_battle,nan,100,30,60,300,nan,100%,100%,100%,1360,nan,nan,distance,10000,11000,13000,16000,20000,"when activated, it will emit tiny vibrations to detect the location of nearby ores."
23,squid,killamari,negativeoctopus,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::negativeoctopus,negativeoctopus,nan,xs,1,dark,no_secondary_type,epalgenuscategorytype::other,epalorganizationtype::none,epalweapontype::none,false,yes,290,60,100,60,70,100,100,104-105,190-217,325-392,notinterested,nan,100,60,120,400,nan,100%,100%,100%,1200,nan,nan,paraglider maximum speed (gravity factor),500(0.013),600(0.011),700(0.009),800(0.007),900(0.005),"if it is in the party, it can be summoned in place of the paraglider. it can float in the air for long periods of time while gliding."
24,meowster,mau,bastet,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::bastet,bastet,nan,xs,1,dark,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,yes,270,70,70,60,70,100,100,104-105,190-217,325-392,escape_to_battle,nan,100,52,105,475,nan,100%,100%,100%,1000,nan,nan,ranch skills,0,0,0,0,0,assign it to palu ranch and it will have a chance to dig money out of the ground.
24,ice cream,mau cryst,bastet_ice,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::bastet_ice,bastet_ice,yes,xs,2,ice,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,275,70,70,65,70,100,100,104-106,197-226,343-416,escape_to_battle,nan,100,52,105,475,nan,100%,100%,100%,1010,nan,nan,ranch skills,0,0,0,0,0,assign it to palu ranch and it will have a chance to dig money out of the ground.
25,rumiel,celaray,flyingmanta,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::flyingmanta,flyingmanta,nan,m,3,water,no_secondary_type,epalgenuscategorytype::other,epalorganizationtype::none,epalweapontype::none,false,nan,330,80,100,70,80,100,100,105-106,205-236,362-441,escape_to_battle,nan,100,30,150,550,nan,120%,110%,100%,2860,nan,nan,paraglider maximum speed (gravity factor),600(0.016),750(0.014),900(0.012),1050(0.01),1200(0.008),"if it is in the party, it can be summoned in place of the paraglider. can move quickly for long periods of time while gliding."
26,hunting wolves,direhowl,garm,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::garm,garm,nan,s,2,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,355,80,110,90,75,100,100,106-108,235-275,437-538,warlike,nan,100,90,180,800,1050,100%,100%,100%,1920,nan,nan,moving speed%,0,10,12,15,20,can be moved around on its back. movement speed while riding will be slightly faster.
27,fried egg bird,tocotoco,colorfulbird,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::colorfulbird,colorfulbird,nan,s,1,generally,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,nan,285,60,80,75,70,70,100,105-107,212-246,381-465,warlike,nan,100,30,60,300,nan,100%,100%,100%,1090,nan,nan,skill power,100,110,130,160,200,"when activated, it will transform into a launcher equipped on the player and create exploding eggs."
28,bona rabbit,flopie,flowerrabbit,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::flowerrabbit,flowerrabbit,nan,xs,1,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,310,75,100,65,70,100,100,104-106,197-226,343-416,escape_to_battle,nan,100,100,100,400,nan,100%,100%,100%,1220,nan,nan,0,0,0,0,0,0,"if it is in the party, it will appear next to the player. it will automatically pick up nearby props."
29,boba cow,mozzarina,cowpal,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::cowpal,cowpal,nan,s,2,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,320,90,100,50,80,100,100,103-104,175-197,287-343,escape_to_battle,nan,100,55,55,580,nan,100%,100%,100%,2620,nan,nan,ranch skills,0,0,0,0,0,assign it to palu ranch and it will have a chance to produce milk.
30,thorn fairy,bristla,littlebriarrose,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::littlebriarrose,littlebriarrose,nan,s,1,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,320,80,80,80,80,100,100,106-107,220-256,400-490,escape_to_battle,nan,100,50,100,400,nan,100%,100%,100%,1140,nan,nan,attack power bonus%,10,11,13,16,20,"if it is in the team, the elemental leaf palu's attack power will be increased."
31,sharkboy,gobfin,sharkkid,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::sharkkid,sharkkid,nan,s,2,water,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,345,90,90,90,75,100,100,106-108,235-275,437-538,warlike,nan,100,50,80,400,nan,100%,100%,100%,1840,nan,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after being activated, it will attack the targeted enemy with extremely powerful watergun. if it is in the team, it will increase the player's attack power."
31,red shark,gobfin ignis,sharkkid_fire,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::sharkkid_fire,sharkkid_fire,yes,s,3,fire,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,345,90,90,90,75,100,100,106-108,235-275,437-538,warlike,nan,100,50,80,400,nan,100%,100%,100%,1800,nan,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after being activated, it will attack the targeted enemy with extremely powerful fireseed. if it is in the team, it will increase the player's attack power."
32,hanging spirit,hangyu,windchimes,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::windchimes,windchimes,nan,xs,1,land,no_secondary_type,epalgenuscategorytype::other,epalorganizationtype::none,epalweapontype::none,false,nan,290,80,70,70,70,100,100,105-106,205-236,362-441,escape_to_battle,nan,100,50,100,400,nan,100%,100%,100%,1020,nan,nan,paraglider maximum speed (gravity factor),100(0.01),100(0.009),100(0.008),100(0.007),100(0.006),"if it is in the party, it can be summoned in place of the paraglider. it lifts the player high into the air while gliding."
32,icebound spirit,hangyu crystal,windchimes_ice,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::windchimes_ice,windchimes_ice,yes,xs,2,ice,no_secondary_type,epalgenuscategorytype::other,epalorganizationtype::none,epalweapontype::none,false,nan,300,80,70,80,70,100,100,106-107,220-256,400-490,escape_to_battle,nan,100,50,100,400,nan,100%,100%,100%,1020,nan,nan,paraglider maximum speed (gravity factor),100(0.01),100(0.009),100(0.008),100(0.007),100(0.006),"if it is in the party, it can be summoned in place of the paraglider. it lifts the player high into the air while gliding."
33,ye panda,mossanda,grasspanda,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::grasspanda,grasspanda,nan,l,6,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,380,100,100,90,90,100,100,106-108,235-275,437-538,warlike,nan,100,50,100,500,700,100%,100%,100%,6200,nan,nan,skill power,30,33,39,48,60,can be moved around on its back. it can also continuously attack with a grenade launcher while riding.
33,lei panda,mossanda lux,grasspanda_electric,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::grasspanda_electric,grasspanda_electric,yes,l,7,electricity,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,400,100,100,100,100,100,100,107-109,250-295,475-587,warlike,nan,100,50,100,500,700,100%,100%,100%,6610,nan,nan,skill power,30,33,39,48,60,can be moved around on its back. it can also continuously attack with a grenade launcher while riding.
34,marshmallow,woolipop,sweetssheep,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::sweetssheep,sweetssheep,nan,s,3,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,300,70,70,70,90,100,100,105-106,205-236,362-441,escape_to_battle,nan,100,50,100,300,nan,100%,100%,100%,1450,nan,nan,ranch skills,0,0,0,0,0,assign it to palu ranch and it may drop sweet.
35,bush sheep,caprity,berrygoat,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::berrygoat,berrygoat,nan,s,3,wood,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,330,100,70,70,90,120,100,105-106,205-236,362-441,escape_to_battle,nan,100,70,70,400,nan,100%,100%,100%,2510,nan,nan,ranch skills,0,0,0,0,0,assign it to palu ranch and it will have a chance to drop berries from its back.
36,melupa,melpaca,alpaca,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::alpaca,alpaca,nan,m,3,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,345,90,90,75,90,100,100,105-107,212-246,381-465,escape_to_battle,nan,100,62,62,460,800,110%,100%,100%,2740,nan,nan,ranch skills,0,0,0,0,0,can be moved around on its back. assign it to palu ranch and it will have a chance to drop wool.
37,zixia deer,eikthyrdeer,deer,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::deer,deer,nan,l,4,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,325,95,70,80,80,100,100,106-107,220-256,400-490,escape_to_battle,nan,100,80,120,700,900,100%,100%,100%,2620,nan,nan,logging bonus+,220,260,320,400,500,"can be moved around on its back. you can perform two jumps while riding, and the efficiency of destroying trees will be higher."
37,only a deer,eikthyrdeer terra,deer_ground,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::deer_ground,deer_ground,yes,l,6,land,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,325,95,70,80,80,100,100,106-107,220-256,400-490,escape_to_battle,nan,100,80,120,700,900,100%,100%,100%,2680,nan,nan,logging bonus+,220,260,320,400,500,"can be moved around on its back. you can perform two jumps while riding, and the efficiency of destroying trees will be higher."
38,swift falcon,nitewing,hawkbird,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::hawkbird,hawkbird,nan,l,3,generally,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,nan,375,100,100,95,80,100,100,107-109,242-285,456-563,notinterested,nan,100,150,150,600,750,100%,100%,100%,6300,nan,nan,moving speed%,0,10,12,15,20,you can ride on its back and fly in the air.
39,ji xiaotu,ribunny,pinkrabbit,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::pinkrabbit,pinkrabbit,nan,xs,1,generally,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,310,75,100,65,70,100,100,104-106,197-226,343-416,escape_to_battle,nan,100,50,100,245,nan,100%,100%,100%,1160,nan,nan,attack power bonus%,10,11,13,16,20,"if it is in the team, the attack power of the elemental normal palu will be increased. if it is in the stronghold, the efficiency of working in weaponfactory_dirty_01 will be improved."
40,balrog sheep,incineram,baphomet,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::baphomet,baphomet,nan,m,4,fire,dark,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,yes,430,95,150,100,85,100,100,107-109,250-295,475-587,warlike,nan,100,80,160,700,nan,100%,100%,100%,4780,nan,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after activation, it will attack the targeted enemy with the extremely powerful unique_baphomet_swallowkite."
40,dark demon sheep,incineram noct,baphomet_dark,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::baphomet_dark,baphomet_dark,yes,m,5,dark,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,yes,435,95,150,105,85,100,100,107-110,257-304,493-611,warlike,nan,100,80,160,700,nan,100%,100%,100%,4870,nan,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after activation, it will attack the targeted enemy with the extremely powerful unique_baphomet_dark_swallowkite."
41,huan yue butterfly,cinnamoth,cutebutterfly,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::cutebutterfly,cutebutterfly,nan,m,4,wood,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,nan,330,70,100,80,80,100,100,106-107,220-256,400-490,escape_to_battle,nan,100,30,150,550,nan,100%,100%,100%,5700,nan,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after activation, it will attack the targeted enemy with poisonfog."
42,blazing ox,arsox,flamebuffalo,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::flamebuffalo,flamebuffalo,nan,m,4,fire,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,375,85,100,95,95,100,100,107-109,242-285,456-563,warlike,nan,100,87,87,600,800,100%,100%,100%,3520,nan,nan,moving speed%,0,10,12,15,20,can be moved around on its back. you won’t feel the chill while riding and it’s quite warm.
43,pa pa pa catfish,dumud,lazycatfish,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::lazycatfish,lazycatfish,nan,m,4,land,no_secondary_type,epalgenuscategorytype::fish,epalorganizationtype::none,epalweapontype::none,false,nan,365,100,100,70,95,100,100,105-106,205-236,362-441,notinterested,nan,100,100,150,450,nan,100%,100%,100%,4690,nan,nan,attack power bonus%,10,11,13,16,20,"if it is in the team, the elemental earth palu's attack power will be increased."
44,black crow hermit,cawgnito,darkcrow,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::darkcrow,darkcrow,nan,m,3,dark,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,yes,330,75,80,95,80,100,100,107-109,242-285,456-563,notinterested,nan,100,85,170,920,nan,100%,100%,100%,1840,nan,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after being activated, it will attack the targeted enemy with the extremely powerful unique_darkcrow_telepoke."
45,punk lizard,leezpunk,lizardman,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::lizardman,lizardman,nan,s,2,dark,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,yes,300,80,90,80,50,100,100,106-107,220-256,400-490,warlike,nan,100,100,140,600,nan,100%,100%,100%,1720,nan,nan,distance,10000,11000,13000,16000,20000,"after activation, the sixth sense can be activated to detect the location of nearby dungeons."
45,hot-blooded lizard,leezpunk ignis,lizardman_fire,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::lizardman_fire,lizardman_fire,yes,s,3,fire,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,300,80,90,80,50,100,100,106-107,220-256,400-490,warlike,nan,100,100,140,400,nan,100%,100%,100%,1640,nan,nan,distance,10000,11000,13000,16000,20000,"after activation, the sixth sense can be activated to detect the location of nearby dungeons."
46,moonscythe demon,loupmoon,werewolf,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::werewolf,werewolf,nan,m,3,dark,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,yes,390,80,130,100,80,100,100,107-109,250-295,475-587,warlike,nan,100,100,150,600,nan,100%,100%,100%,2400,nan,nan,skill power multiplier,1.1,1.3,1.6,2,2.5,"after activation, it will attack the targeted enemy with extremely powerful unique_werewolf_scratch."
